Scenario,Metric,est_200,est_2000,rel_dev_200,se_200
S1,Dc,0.63546,0.6281420000000001,0.011650231953921142,0.005722324003409804
S1,Tc,218.235,211.742,0.030664676823681764,8.127256540493846
S1,Nc,9.595,9.657,0.006420213316764977,0.1229018917673768
S1,fnc,0.0,0.0,,0.0
S2,Dc,0.6128199999999999,0.6108859999999999,0.0031658934727592245,0.007020024074032795
S2,Tc,374.41,375.6005,0.0031695910947934997,10.756354377762012
S2,Nc,5.94,5.896,0.007462686567164261,0.10189209979188768
S2,fnc,0.0,0.0,,0.0
S3,Dc,1.0,1.0,0.0,0.0
S3,Tc,1000.0,1000.0,0.0,0.0
S3,Nc,0.0,0.0,,0.0
S3,fnc,1.0,1.0,0.0,0.0
S4,Dc,0.38214,0.3811335,0.002640806961340228,0.0017029392238127584
S4,Tc,241.78,240.941,0.0034821802848000074,1.1403981760771102
S4,Nc,6.555,6.594,0.005914467697907278,0.04510958878110063
S4,fnc,0.0,0.0,,0.0
S5,Dc,0.98989,0.989918,2.828517109489572e-05,0.0011073569885091262
S5,Tc,763.425,775.1,0.015062572571281213,23.929730919402335
S5,Nc,0.51,0.5075,0.004926108374384351,0.04847164119358864
S5,fnc,0.585,0.5975,0.02092050209205032,0.0348407089480108
S6,Dc,0.7951400000000001,0.7922935,0.0035927342582011404,0.005547260765458931
S6,Tc,191.855,198.9695,0.03575673658525563,13.362996291064364
S6,Nc,4.245,4.2715,0.006203909633618056,0.09937240562651183
S6,fnc,0.015,0.011,0.36363636363636365,0.008595056718835543
S7,Dc,0.584385,0.5810375,0.005761246046941994,0.0034709053393891342
S7,Tc,242.645,236.0035,0.02814153179931657,4.387738013487131
S7,Nc,7.265,7.3305,0.008935270445399374,0.07364696191968818
S7,fnc,0.0,0.0,,0.0
S8,Dc,0.8702749999999999,0.8712249999999999,0.001090418663376288,0.0019381555342644732
S8,Tc,616.26,616.2635,5.6793887680041455e-06,3.013272639506754
S8,Nc,1.955,1.942,0.006694129763130856,0.016274980798759792
S8,fnc,0.0,0.0,,0.0
S9,Dc,0.9111250000000001,0.910375,0.0008238363311822364,0.001913216369102042
S9,Tc,691.845,693.648,0.002599301086430001,3.297135859348231
S9,Nc,1.47,1.477,0.0047393364928910746,0.03529164207004259
S9,fnc,0.0,0.0,,0.0
S10,Dc,1.0,1.0,0.0,0.0
S10,Tc,1000.0,1000.0,0.0,0.0
S10,Nc,0.0,0.0,,0.0
S10,fnc,1.0,1.0,0.0,0.0
