Mode,gamma,Scenario,Dc,Nc
efficiency,0.0,S1,0.63739,9.405
efficiency,0.0,S2,0.603425,5.955
efficiency,0.0,S4,0.38015,6.535
efficiency,0.0,S6,0.79805,4.2
efficiency,0.0,S7,0.572475,7.49
efficiency,0.0,S8,0.872055,1.92
efficiency,0.0,S9,0.9109200000000002,1.47
efficiency,0.1,S1,0.61382,9.77
efficiency,0.1,S2,0.60343,6.07
efficiency,0.1,S4,0.38516000000000006,6.5
efficiency,0.1,S6,0.798245,4.135
efficiency,0.1,S7,0.566465,7.435
efficiency,0.1,S8,0.8820950000000001,1.875
efficiency,0.1,S9,0.9151900000000001,1.325
efficiency,0.25,S1,0.6164400000000001,10.305
efficiency,0.25,S2,0.600885,6.035
efficiency,0.25,S4,0.40073499999999995,6.475
efficiency,0.25,S6,0.79762,4.235
efficiency,0.25,S7,0.57941,7.455
efficiency,0.25,S8,0.90803,1.47
efficiency,0.25,S9,0.9251900000000001,1.14
efficiency,0.5,S1,0.5641149999999999,11.14
efficiency,0.5,S2,0.60756,6.02
efficiency,0.5,S4,0.43310000000000004,6.11
efficiency,0.5,S6,0.7814099999999999,4.425
efficiency,0.5,S7,0.5745,7.62
efficiency,0.5,S8,0.9284950000000001,1.065
efficiency,0.5,S9,0.93292,0.99
efficiency,1.0,S1,0.39829000000000003,17.17
efficiency,1.0,S2,0.6457999999999999,5.59
efficiency,1.0,S4,0.57225,4.685
efficiency,1.0,S6,0.6705150000000001,7.13
efficiency,1.0,S7,0.58588,7.45
efficiency,1.0,S8,0.9765199999999998,0.45
efficiency,1.0,S9,0.9862049999999999,0.33
recovery,0.0,S1,0.63739,9.405
recovery,0.0,S2,0.603425,5.955
recovery,0.0,S4,0.38015,6.535
recovery,0.0,S6,0.79805,4.2
recovery,0.0,S7,0.572475,7.49
recovery,0.0,S8,0.872055,1.92
recovery,0.0,S9,0.9109200000000002,1.47
recovery,0.1,S1,0.6043999999999999,9.66
recovery,0.1,S2,0.595195,6.19
recovery,0.1,S4,0.36861999999999995,6.74
recovery,0.1,S6,0.7955249999999999,4.185
recovery,0.1,S7,0.5671649999999999,7.765
recovery,0.1,S8,0.8729250000000001,1.91
recovery,0.1,S9,0.906185,1.5
recovery,0.25,S1,0.5988749999999999,10.52
recovery,0.25,S2,0.578295,6.51
recovery,0.25,S4,0.35527000000000003,6.98
recovery,0.25,S6,0.789615,4.32
recovery,0.25,S7,0.5399,8.035
recovery,0.25,S8,0.8707250000000001,1.93
recovery,0.25,S9,0.9071750000000001,1.53
recovery,0.5,S1,0.552495,12.005
recovery,0.5,S2,0.528765,7.265
recovery,0.5,S4,0.32499,7.175
recovery,0.5,S6,0.775775,4.635
recovery,0.5,S7,0.486345,9.05
recovery,0.5,S8,0.8799199999999999,1.89
recovery,0.5,S9,0.90161,1.615
recovery,1.0,S1,0.33701499999999995,17.92
recovery,1.0,S2,0.42168000000000005,8.93
recovery,1.0,S4,0.259185,7.92
recovery,1.0,S6,0.588915,8.77
recovery,1.0,S7,0.31088,12.23
recovery,1.0,S8,0.883655,1.85
recovery,1.0,S9,0.8963949999999999,1.71
