Scenario,Rmin_frac,Dc
S1,0.0,0.622645
S1,0.02,0.570545
S1,0.05,0.4888
S1,0.1,0.345265
S2,0.0,0.613685
S2,0.02,0.56387
S2,0.05,0.486355
S2,0.1,0.35656
S3,0.0,1.0
S3,0.02,1.0
S3,0.05,1.0
S3,0.1,1.0
S4,0.0,0.38099
S4,0.02,0.34921
S4,0.05,0.301245
S4,0.1,0.221555
S5,0.0,0.99065
S5,0.02,0.99065
S5,0.05,0.99065
S5,0.1,0.99065
S6,0.0,0.785375
S6,0.02,0.77285
S6,0.05,0.74888
S6,0.1,0.69072
S7,0.0,0.572245
S7,0.02,0.53566
S7,0.05,0.47982
S7,0.1,0.385
S8,0.0,0.874865
S8,0.02,0.85078
S8,0.05,0.814095
S8,0.1,0.75187
S9,0.0,0.90987
S9,0.02,0.888565
S9,0.05,0.854505
S9,0.1,0.79259
S10,0.0,1.0
S10,0.02,1.0
S10,0.05,1.0
S10,0.1,1.0
